doi,author,editor,isbn,issn,journal,note,number,pages,publisher,title,url,volume,year
10.1111/j.1600-0587.2010.06237.x,"Laffan, Shawn W. and Lubarsky, Eugene and Rosauer, Dan F.",,,1600-0587,Ecography,,4,643–647,Wiley,"Biodiverse, a tool for the spatial analysis of biological and related diversity",http://dx.doi.org/10.1111/j.1600-0587.2010.06237.x,33,2010
10.21829/abm131.2024.2367,"Ruiz-Flores, Sara Isabel and Castro-Castro, Arturo",,,0187-7151,Acta Botanica Mexicana,in press,131,,"Instituto de Ecologia, A.C.","Distribución, riqueza, endemismo y conservación del género Dasylirion (Asparagaceae, Convallarioideae)",http://dx.doi.org/10.21829/abm131.2024.2367,,2024
10.1016/j.jclepro.2024.143783,"Ali, Maroof and Huang, Zhongde and Bai, Yang and Tng, David Y.P. and Qin, Fei and Fang, Zhou",,,0959-6526,Journal of Cleaner Production,in press,,143783,Elsevier BV,A multifaceted approach to expanding conservation efforts in the Pan-Himalayan landscape,http://dx.doi.org/10.1016/j.jclepro.2024.143783,476,2024
10.1111/jse.13077,"Folk, Ryan A. and Maassoumi, Aliasghar A. and Siniscalchi, Carolina M. and Kates, Heather R. and Soltis, Douglas E. and Soltis, Pamela S. and Belitz, Michael B. and Guralnick, Robert P.",,,1759-6831,Journal of Systematics and Evolution,in press,,,Wiley,Phylogenetic diversity and regionalization in the temperate arid zone,http://dx.doi.org/10.1111/jse.13077,,2024
10.1111/jse.13067,"Aagesen, Lone and Salariato, Diego L. and Scataglini, María A. and Acosta, Juan M. and Denham, Silvia S. and Delfini, Carolina",,,1759-6831,Journal of Systematics and Evolution,in press,,,Wiley,Spatial phylogenetics of grasses in the Southern Cone provides insights into ecology and evolution of the family in South America,http://dx.doi.org/10.1111/jse.13067,,2024
10.21203/rs.3.rs-4249551/v1,"Torkkola, Janne and Hines, Harry and Chauvenet, Alienor and Oliver, Paul",,,,,preprint,,,Springer Science and Business Media LLC,Are species richness and endemism hotspots correlated within a biome? A test case in the fire-impacted subtropical rainforests of Australia,http://dx.doi.org/10.21203/rs.3.rs-4249551/v1,,2024
10.1101/2023.09.08.556918,"Folk, R.A and Belitz, M.W. and Siniscalchi, C.M. and Kates, H.R. and Soltis, D.E. and Soltis, P.S. and Guralnick, R.P. and Borges, L.M.",,,,,preprint,,,Cold Spring Harbor Laboratory,Phylogenetic diversity and regionalization of root nodule symbiosis,http://dx.doi.org/10.1101/2023.09.08.556918,,2023
10.1590/1676-0611-bn-2024-1648,"Aragón-Parada, Juvenal and Munguía-Lino, Guadalupe and De-Nova, José Arturo and Carrillo-Reyes, Pablo and Rodríguez, Aarón and Salinas-Rodríguez, María Magdalena",,,1676-0611,Biota Neotropica,,3,,FapUNIFESP (SciELO),"Priority areas for conservation of the vascular flora in the Sierra Madre del Sur, Mexico",http://dx.doi.org/10.1590/1676-0611-BN-2024-1648,24,2024
10.1007/s40415-024-01005-y,"Estrada-Sánchez, Iveth and Espejo-Serna, Adolfo and García-Cruz, Javier and López-Ferrari, Ana Rosa",,,1806-9959,Brazilian Journal of Botany,,2,501–517,Springer Science and Business Media LLC,"Richness, distribution, and endemism of neotropical subtribe Ponerinae (Orchidaceae, Epidendreae)",http://dx.doi.org/10.1007/s40415-024-01005-y,47,2024
10.1111/jzo.13173,"Flanagan, T. and Shea, G. M. and Roll, U. and Tingley, R. and Meiri, S. and Chapple, D. G.",,,1469-7998,Journal of Zoology,,4,317–330,Wiley,New data and taxonomic changes influence our understanding of biogeographic patterns: A case study in Australian skinks,http://dx.doi.org/10.1111/jzo.13173,323,2024
10.1111/jvs.13261,"Flores‐Tolentino, Mayra and Villaseñor, José Luis and Ibarra‐Manríquez, Guillermo and Rodríguez, Rolando Ramírez and Morales‐Linares, Jonas and Dorado, Óscar",,,1654-1103,Journal of Vegetation Science,,3,,Wiley,"The use of ecological niche models improves biogeographic regionalization of the Balsas Depression, Mexico",http://dx.doi.org/10.1111/jvs.13261,35,2024
10.1111/jbi.14840,"Folk, R. A. and Siniscalchi, C. M. and Doby, J. and Kates, H. R. and Manchester, S. R. and Soltis, P. S. and Soltis, D. E. and Guralnick, R. P. and Belitz, M.",,,1365-2699,Journal of Biogeography,,8,1518–1532,Wiley,Spatial phylogenetics of Fagales: Investigating drivers of temperate forest distributions,http://dx.doi.org/10.1111/jbi.14840,51,2024
10.1002/csc2.21143,"González‐Orozco, Carlos E. and Reyes‐Herrera, Paula H. and Sosa, Chrystian C. and Torres, Rosa T. and Manrique‐Carpintero, Norma C. and Lasso‐Paredes, Zahara and Cerón‐Souza, Ivania and Yockteng, Roxana",,,1435-0653,Crop Science,,1,225–243,Wiley,Wild relatives of potato (Solanum L. sec. Petota) poorly sampled and unprotected in Colombia,http://dx.doi.org/10.1002/csc2.21143,64,2023
